n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
3300,0.0607232035900668,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0768086928343547,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0665978673947385,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0859977498706057,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0752292544635276,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0665335688538433,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0641181479261633,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
3760,0.0636987190578193,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0996069518226718,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0745382001792778,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.105729727935767,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0830053292294582,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0826067377182271,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0772881548502065,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4220,0.0766792074054677,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4680,0.116597176302557,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4680,0.0876129838186288,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4680,0.120090342875514,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4700,0.11151386125779,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4700,0.106196762599586,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4700,0.088685645116275,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
4700,0.0953982858375736,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.124714228739664,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.0993829145440402,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.127074864225979,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.121864568178637,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.118376904964458,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.10359056487036,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5160,0.11559000690776,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5620,0.121180909505336,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5620,0.120463862499825,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5620,0.155806035136815,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5640,0.145824639338879,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5640,0.127940588911887,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5640,0.121168184299834,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
5640,0.141474415638361,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.157080113281651,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.149681524701016,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.161113303749113,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.173772549328587,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.154511251165538,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.123181559249369,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6100,0.137674110496963,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6560,0.176870042158114,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6560,0.158092135067905,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6560,0.175199135791389,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
