n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
45020,0.137040004134178,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
45020,0.146520003676414,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.11981999874115,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.126560002565384,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.140180006623268,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.130960002541542,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.14122000336647,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.1285600066185,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
50020,0.138860002160072,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.127839997410774,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.129140004515648,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.130040004849434,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.139119997620583,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.137679994106293,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.139019995927811,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
55020,0.137239992618561,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.121220000088215,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.12508000433445,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.131019994616508,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.133799999952316,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.133300006389618,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.136999994516373,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
60020,0.135839998722076,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.122400000691414,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.126900002360344,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.126460000872612,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.135979995131493,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.126719996333122,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.130979999899864,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
65020,0.128499999642372,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.118720002472401,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.129380002617836,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.126760005950928,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.128279998898506,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.135299995541573,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.123400002717972,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
70020,0.133279994130135,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.117080003023148,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.117600001394749,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.129299998283386,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.134619995951653,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.124619998037815,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.131999999284744,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
75020,0.123539999127388,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.121059998869896,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.126080006361008,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.125019997358322,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.12542000412941,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.12533999979496,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
80020,0.126739993691444,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
